Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,IncomePerPerson,PitchEffectiveness,FamilySize,IsFrequentTraveller,ProdTaken
53.0,1,1,10.0,3,1,3,5.0,3,3.0,1,4.0,1,1,1,1.0,3,26647.0,8882.33,5.0,4.0,1,0
45.0,1,1,10.0,2,1,3,4.0,0,5.0,0,6.0,0,5,1,2.0,1,21040.0,7013.33,20.0,5.0,1,1
32.0,1,3,13.0,2,1,3,4.0,1,3.0,0,2.0,0,3,1,2.0,2,20484.0,6828.0,12.0,5.0,0,0
45.0,1,1,8.0,2,0,2,4.0,1,3.0,1,2.0,0,4,1,1.0,2,20770.0,10385.0,16.0,3.0,0,0
38.0,1,2,6.0,2,1,2,1.0,0,3.0,0,2.0,0,4,1,0.0,1,17844.0,8922.0,4.0,2.0,0,0
55.0,1,1,26.0,1,1,2,3.0,1,3.0,1,4.0,1,1,0,0.0,2,20415.0,10207.5,3.0,2.0,1,0
35.0,0,1,9.0,2,1,2,4.0,0,3.0,0,2.0,0,2,1,1.0,1,16281.0,8140.5,8.0,3.0,0,0
27.0,1,3,16.0,3,0,3,4.0,1,3.0,0,2.0,1,3,1,2.0,2,20769.0,6923.0,12.0,5.0,0,0
30.0,0,1,21.0,2,0,3,4.0,3,3.0,2,2.0,1,5,1,1.0,3,26231.0,8743.67,20.0,4.0,0,1
59.0,0,2,8.0,2,0,2,4.0,2,3.0,0,1.0,0,2,1,1.0,4,33844.0,16922.0,8.0,3.0,0,0
35.0,1,1,9.0,3,0,3,5.0,0,5.0,2,3.0,0,2,1,2.0,1,23059.0,7686.33,10.0,5.0,0,0
29.0,1,1,26.0,3,1,4,5.0,0,5.0,0,3.0,0,3,1,3.0,1,21874.0,5468.5,15.0,7.0,0,0
41.0,1,1,7.0,2,1,3,4.0,0,3.0,1,2.0,0,1,0,1.0,1,21084.0,7028.0,4.0,4.0,0,0
29.0,0,1,7.0,3,1,3,5.0,0,4.0,1,3.0,0,4,1,1.0,1,21274.0,7091.33,20.0,4.0,0,1
46.0,1,3,8.0,1,0,3,5.0,4,4.0,1,4.0,1,5,1,0.0,0,31872.0,10624.0,25.0,3.0,1,0
37.0,1,1,6.0,2,0,2,3.0,0,3.0,2,2.0,0,1,1,0.0,1,17115.0,8557.5,3.0,2.0,0,0
28.0,1,1,24.0,2,0,3,4.0,0,3.0,2,3.0,1,5,1,1.0,1,21072.0,7024.0,20.0,4.0,0,1
25.0,1,1,9.0,2,1,2,3.0,0,5.0,1,5.0,0,5,1,0.0,1,16118.0,8059.0,15.0,2.0,1,1
21.0,0,1,13.0,2,0,4,5.0,0,3.0,2,3.0,1,1,0,1.0,1,21604.0,5401.0,5.0,5.0,0,1
37.0,1,1,6.0,1,0,2,3.0,3,3.0,2,5.0,0,5,1,1.0,3,22491.0,11245.5,15.0,3.0,1,0
35.0,0,3,11.0,3,0,4,4.0,1,3.0,1,2.0,0,1,0,1.0,2,25216.0,6304.0,4.0,5.0,0,0
45.0,1,1,7.0,3,1,3,4.0,0,3.0,2,8.0,1,4,0,2.0,1,21114.0,7038.0,16.0,5.0,1,0
38.0,1,3,15.0,3,1,3,4.0,0,4.0,1,1.0,0,4,0,2.0,1,17899.0,5966.33,16.0,5.0,0,0
34.0,1,2,9.0,2,1,3,4.0,0,3.0,0,3.0,0,2,0,1.0,1,22278.0,7426.0,8.0,4.0,0,0
30.0,1,1,7.0,1,1,3,4.0,0,3.0,2,2.0,0,2,0,1.0,1,20736.0,6912.0,8.0,4.0,0,1
40.0,0,1,29.0,3,0,3,4.0,3,5.0,2,3.0,1,5,1,1.0,3,29558.0,9852.67,20.0,4.0,0,0
61.0,1,3,23.0,3,1,3,4.0,1,5.0,2,2.0,0,4,1,2.0,2,24083.0,8027.67,16.0,5.0,0,0
37.0,0,1,18.0,2,1,4,5.0,1,4.0,2,3.0,0,4,1,2.0,2,25177.0,6294.25,20.0,6.0,0,0
31.0,1,1,31.0,2,1,4,4.0,0,3.0,1,3.0,0,2,0,2.0,1,21371.0,5342.75,8.0,6.0,0,0
36.0,1,1,6.0,2,0,2,3.0,1,4.0,1,1.0,0,5,1,1.0,2,20228.0,10114.0,15.0,3.0,0,0
36.0,1,3,9.0,2,1,2,4.0,3,3.0,1,2.0,1,1,1,0.0,3,25325.0,12662.5,4.0,2.0,0,1
38.0,1,2,13.0,2,1,4,4.0,0,5.0,1,6.0,1,1,0,3.0,1,20751.0,5187.75,4.0,7.0,1,1
34.0,1,3,16.0,3,0,4,4.0,1,5.0,2,2.0,1,3,0,1.0,2,26902.0,6725.5,12.0,5.0,0,1
38.0,1,1,17.0,2,0,3,4.0,0,5.0,1,2.0,1,3,1,2.0,1,21460.0,7153.33,12.0,5.0,0,0
21.0,0,3,15.0,3,1,2,3.0,0,3.0,2,2.0,0,4,0,0.0,1,17610.0,8805.0,12.0,2.0,0,0
50.0,1,1,12.0,1,1,4,4.0,1,3.0,0,4.0,0,3,0,1.0,2,25329.0,6332.25,12.0,5.0,1,0
41.0,1,3,23.0,3,1,4,4.0,3,3.0,1,4.0,0,5,0,2.0,3,22222.0,5555.5,20.0,6.0,1,1
37.0,1,1,8.0,0,1,3,4.0,0,3.0,2,7.0,1,3,0,0.0,1,17090.0,5696.67,12.0,3.0,1,1
24.0,1,1,15.0,3,1,4,5.0,0,3.0,2,3.0,1,4,1,3.0,1,22667.0,5666.75,20.0,7.0,0,1
41.0,1,1,15.0,2,1,3,3.0,0,5.0,1,3.0,0,1,0,0.0,1,17238.0,5746.0,3.0,3.0,0,0
59.0,1,1,24.0,3,1,3,3.0,3,3.0,2,7.0,0,3,1,1.0,3,25512.0,8504.0,9.0,4.0,1,0
37.0,1,1,14.0,2,1,4,4.0,0,3.0,2,4.0,0,3,0,3.0,1,23356.0,5839.0,12.0,7.0,1,0
41.0,0,1,11.0,2,1,3,4.0,0,5.0,1,7.0,0,3,1,0.0,1,17107.0,5702.33,12.0,3.0,1,1
42.0,1,1,8.0,2,1,3,4.0,1,3.0,2,4.0,0,2,0,1.0,2,21781.0,7260.33,8.0,4.0,1,0
26.0,1,3,11.0,2,0,4,5.0,1,3.0,2,3.0,1,1,0,3.0,2,23165.0,5791.25,5.0,7.0,0,0
44.0,1,3,9.0,3,1,4,4.0,1,3.0,1,3.0,1,3,0,1.0,2,26525.0,6631.25,12.0,5.0,0,0
37.0,1,1,9.0,3,1,4,4.0,0,3.0,2,6.0,0,5,1,2.0,1,21197.0,5299.25,20.0,6.0,1,0
29.0,0,1,13.0,2,1,3,5.0,0,3.0,1,3.0,1,4,1,1.0,1,21381.0,7127.0,20.0,4.0,0,0
40.0,1,3,10.0,3,1,3,4.0,3,3.0,0,1.0,0,2,1,0.0,3,25855.0,8618.33,8.0,3.0,0,0
29.0,1,3,16.0,3,1,2,3.0,0,4.0,1,2.0,0,2,0,1.0,1,17297.0,8648.5,6.0,3.0,0,0
48.0,1,1,16.0,2,0,4,4.0,0,3.0,2,6.0,0,3,1,1.0,1,20783.0,5195.75,12.0,5.0,1,0
50.0,1,3,6.0,3,0,3,3.0,2,3.0,1,4.0,0,1,1,0.0,4,34517.0,11505.67,3.0,3.0,1,0
32.0,0,1,7.0,2,0,4,4.0,1,5.0,1,3.0,0,5,1,1.0,2,22826.0,5706.5,20.0,5.0,0,0
34.0,0,3,14.0,3,1,3,4.0,1,5.0,0,2.0,0,3,0,1.0,2,23051.0,7683.67,12.0,4.0,0,0
39.0,0,3,17.0,1,0,3,4.0,1,3.0,2,3.0,1,3,1,1.0,2,24344.0,8114.67,12.0,4.0,0,0
23.0,1,1,6.0,2,1,2,3.0,0,3.0,0,2.0,0,4,0,1.0,1,16223.0,8111.5,12.0,3.0,0,0
24.0,1,1,23.0,2,0,3,3.0,0,4.0,0,2.0,0,2,0,1.0,1,17210.0,5736.67,6.0,4.0,0,1
42.0,1,1,6.0,2,0,2,4.0,1,3.0,0,1.0,1,3,0,1.0,2,21062.0,10531.0,12.0,3.0,0,0
34.0,1,1,8.0,2,1,3,4.0,0,3.0,1,4.0,0,5,1,0.0,1,17768.0,5922.67,20.0,3.0,1,0
33.0,1,1,9.0,2,1,4,4.0,0,4.0,2,3.0,0,3,1,2.0,1,20071.0,5017.75,12.0,6.0,0,1
45.0,1,1,6.0,2,1,3,1.0,2,3.0,1,1.0,0,4,1,1.0,4,34202.0,11400.67,4.0,4.0,0,0
43.0,1,1,16.0,2,1,4,5.0,2,3.0,2,2.0,0,1,1,2.0,4,38291.0,9572.75,5.0,6.0,0,0
54.0,1,3,9.0,3,0,2,3.0,1,5.0,1,3.0,0,4,1,0.0,2,20940.0,10470.0,12.0,2.0,0,0
35.0,1,3,6.0,3,1,3,3.0,3,4.0,0,2.0,0,4,1,2.0,3,22295.0,7431.67,12.0,5.0,0,0
40.0,1,3,8.0,2,0,3,3.0,2,3.0,0,1.0,0,3,0,0.0,4,33041.0,11013.67,9.0,3.0,0,0
28.0,1,3,9.0,3,0,3,3.0,0,4.0,1,2.0,0,1,1,0.0,1,17856.0,5952.0,3.0,3.0,0,0
34.0,1,1,6.0,2,1,2,3.0,0,3.0,1,2.0,0,3,1,1.0,1,17691.0,8845.5,9.0,3.0,0,0
53.0,1,3,30.0,2,1,3,3.0,3,5.0,2,7.0,1,3,1,2.0,3,25448.0,8482.67,9.0,5.0,1,1
23.0,1,1,32.0,2,1,2,3.0,0,3.0,1,2.0,0,1,0,1.0,1,17904.0,8952.0,3.0,3.0,0,0
51.0,1,1,17.0,1,1,4,5.0,3,3.0,2,8.0,0,5,1,2.0,3,29174.0,7293.5,25.0,6.0,1,0
41.0,1,1,25.0,2,1,2,3.0,1,5.0,1,3.0,0,1,0,0.0,2,18072.0,9036.0,3.0,2.0,0,0
39.0,1,2,8.0,2,0,2,4.0,1,3.0,1,1.0,0,3,1,0.0,2,20204.0,10102.0,12.0,2.0,0,0
47.0,1,1,8.0,3,0,3,3.0,1,3.0,1,6.0,0,1,0,0.0,2,20070.0,6690.0,3.0,3.0,1,0
30.0,1,1,34.0,3,0,4,4.0,1,3.0,0,6.0,0,2,1,1.0,2,23013.0,5753.25,8.0,5.0,1,0
55.0,0,1,8.0,2,0,3,4.0,3,3.0,1,2.0,0,5,0,2.0,3,29180.0,9726.67,20.0,5.0,0,0
38.0,1,3,9.0,2,1,2,3.0,1,3.0,2,1.0,1,3,1,1.0,2,21861.0,10930.5,9.0,3.0,0,0
43.0,1,3,11.0,3,1,3,4.0,1,5.0,2,2.0,0,5,1,1.0,2,23833.0,7944.33,20.0,4.0,0,0
27.0,0,2,28.0,2,0,2,4.0,0,4.0,1,2.0,0,1,1,0.0,1,17863.0,8931.5,4.0,2.0,0,1
33.0,1,3,17.0,3,1,3,4.0,1,3.0,2,3.0,0,4,1,2.0,2,24074.0,8024.67,16.0,5.0,0,0
41.0,0,1,33.0,3,0,4,5.0,1,3.0,1,5.0,1,1,0,2.0,2,23100.0,5775.0,5.0,6.0,1,0
60.0,0,1,21.0,2,0,3,4.0,3,3.0,2,2.0,1,5,1,1.0,3,29190.0,9730.0,20.0,4.0,0,1
27.0,1,1,31.0,1,1,4,6.0,0,3.0,2,3.0,1,3,0,2.0,1,21018.0,5254.5,18.0,6.0,0,1
33.0,0,3,15.0,3,0,3,4.0,3,3.0,2,3.0,0,4,1,2.0,3,27676.0,9225.33,16.0,5.0,0,0
40.0,0,3,30.0,2,0,3,1.0,4,4.0,2,5.0,1,3,1,0.0,0,28194.0,9398.0,3.0,3.0,1,1
26.0,0,1,9.0,1,1,3,3.0,0,5.0,2,1.0,0,3,0,2.0,1,18102.0,6034.0,9.0,5.0,0,1
42.0,1,1,15.0,2,1,3,4.0,2,3.0,2,1.0,0,1,1,1.0,4,34613.0,11537.67,4.0,4.0,0,0
25.0,0,1,11.0,2,1,3,5.0,0,3.0,1,2.0,0,3,0,2.0,1,21840.0,7280.0,15.0,5.0,0,0
33.0,1,3,15.0,3,0,3,3.0,1,5.0,2,1.0,1,3,0,0.0,2,23224.0,7741.33,9.0,3.0,0,1
38.0,1,1,26.0,2,1,3,4.0,1,3.0,1,5.0,0,1,0,1.0,2,24446.0,8148.67,4.0,4.0,1,0
55.0,1,2,26.0,3,1,3,4.0,3,4.0,1,4.0,0,3,1,2.0,3,29403.0,9801.0,12.0,5.0,1,0
24.0,0,3,16.0,3,1,3,4.0,0,5.0,1,3.0,0,5,1,1.0,1,20468.0,6822.67,20.0,4.0,0,1
34.0,1,1,11.0,3,0,2,4.0,3,5.0,2,3.0,0,2,0,0.0,3,26631.0,13315.5,8.0,2.0,0,0
29.0,0,2,7.0,2,1,3,4.0,0,3.0,1,3.0,0,4,0,2.0,1,21384.0,7128.0,16.0,5.0,0,0
41.0,1,1,15.0,2,0,4,4.0,1,5.0,1,4.0,1,1,0,1.0,2,25194.0,6298.5,4.0,5.0,1,0
32.0,0,1,19.0,2,0,3,4.0,0,4.0,0,2.0,0,5,0,0.0,1,17743.0,5914.33,20.0,3.0,0,0
45.0,1,3,35.0,3,0,3,2.0,4,3.0,1,5.0,1,1,1,1.0,0,31998.0,10666.0,2.0,4.0,1,0
35.0,1,3,21.0,1,0,3,4.0,0,3.0,1,3.0,1,5,1,1.0,1,21257.0,7085.67,20.0,4.0,0,0
40.0,0,1,29.0,3,0,3,4.0,3,5.0,2,3.0,1,5,1,2.0,3,29558.0,9852.67,20.0,5.0,0,0
51.0,1,1,13.0,3,1,2,4.0,1,3.0,0,3.0,0,3,1,1.0,2,21132.0,10566.0,12.0,3.0,0,0
39.0,1,1,6.0,3,0,3,3.0,0,3.0,1,1.0,0,3,1,0.0,1,17232.0,5744.0,9.0,3.0,0,0
19.0,1,3,28.0,3,1,2,3.0,0,3.0,2,2.0,1,2,0,1.0,1,16675.0,8337.5,6.0,3.0,0,1
39.0,0,3,17.0,1,0,3,4.0,1,3.0,2,3.0,1,3,0,2.0,2,24344.0,8114.67,12.0,5.0,0,0
37.0,1,1,14.0,2,1,4,4.0,0,3.0,2,4.0,0,3,1,3.0,1,23356.0,5839.0,12.0,7.0,1,0
42.0,1,3,18.0,3,1,3,3.0,1,3.0,1,4.0,1,1,0,0.0,2,20087.0,6695.67,3.0,3.0,1,0
30.0,1,3,17.0,2,1,3,4.0,0,3.0,2,3.0,0,4,0,1.0,1,21320.0,7106.67,16.0,4.0,0,0
44.0,0,1,35.0,3,0,4,2.0,0,3.0,2,6.0,0,3,0,3.0,1,23417.0,5854.25,6.0,7.0,1,0
45.0,1,1,34.0,1,0,2,4.0,4,4.0,2,2.0,0,3,1,0.0,0,31704.0,15852.0,12.0,2.0,0,0
36.0,1,1,32.0,1,1,4,5.0,3,4.0,1,5.0,0,3,1,2.0,3,29581.0,7395.25,15.0,6.0,1,0
36.0,1,1,29.0,2,1,3,6.0,0,3.0,2,2.0,0,4,1,1.0,1,22908.0,7636.0,24.0,4.0,0,0
33.0,1,1,10.0,3,0,4,4.0,1,5.0,1,3.0,0,1,1,1.0,2,25403.0,6350.75,4.0,5.0,0,0
39.0,1,1,17.0,3,0,3,6.0,3,3.0,1,5.0,0,1,1,2.0,3,31884.0,10628.0,6.0,5.0,1,0
44.0,0,1,16.0,3,1,4,4.0,1,3.0,1,5.0,1,3,1,3.0,2,24357.0,6089.25,12.0,7.0,1,0
36.0,0,1,24.0,2,1,3,3.0,1,3.0,2,3.0,0,3,0,1.0,2,22779.0,7593.0,9.0,4.0,0,0
20.0,1,1,16.0,2,1,3,4.0,0,5.0,2,3.0,0,3,0,2.0,1,21230.0,7076.67,12.0,5.0,0,0
46.0,1,1,14.0,3,0,3,4.0,0,3.0,1,6.0,1,3,0,2.0,1,23155.0,7718.33,12.0,5.0,1,0
55.0,1,1,14.0,3,0,2,3.0,4,3.0,1,3.0,1,3,1,1.0,0,29756.0,14878.0,9.0,3.0,0,0
35.0,0,1,33.0,1,0,4,5.0,0,3.0,1,3.0,0,1,1,1.0,1,20707.0,5176.75,5.0,5.0,0,0
32.0,1,1,15.0,2,0,4,4.0,1,3.0,2,3.0,0,5,0,2.0,2,23102.0,5775.5,20.0,6.0,0,0
41.0,0,3,16.0,2,1,2,3.0,1,3.0,2,1.0,0,2,0,1.0,2,21230.0,10615.0,6.0,3.0,0,0
38.0,1,3,13.0,3,1,4,4.0,1,3.0,0,6.0,0,3,0,1.0,2,25180.0,6295.0,12.0,5.0,1,0
35.0,0,3,30.0,3,1,4,4.0,1,3.0,2,2.0,0,5,0,2.0,2,23246.0,5811.5,20.0,6.0,0,0
37.0,1,1,13.0,2,1,3,4.0,0,3.0,1,2.0,0,5,1,2.0,1,21888.0,7296.0,20.0,5.0,0,0
25.0,1,1,13.0,3,1,3,4.0,0,3.0,1,2.0,0,1,0,2.0,1,17889.0,5963.0,4.0,5.0,0,0
32.0,1,3,14.0,1,0,3,4.0,1,4.0,0,2.0,1,2,1,0.0,2,20228.0,6742.67,8.0,3.0,0,0
36.0,1,1,30.0,3,1,4,6.0,0,3.0,1,2.0,0,1,1,1.0,1,21383.0,5345.75,6.0,5.0,0,0
24.0,0,2,16.0,3,1,2,3.0,0,3.0,1,1.0,0,4,1,1.0,1,17145.0,8572.5,12.0,3.0,0,0
26.0,1,3,26.0,3,1,3,5.0,0,4.0,0,3.0,1,2,0,1.0,1,21091.0,7030.33,10.0,4.0,0,1
49.0,1,1,26.0,3,0,3,3.0,1,5.0,0,2.0,0,2,1,2.0,2,21567.0,7189.0,6.0,5.0,0,0
47.0,1,1,10.0,2,0,3,4.0,3,4.0,1,1.0,1,4,1,2.0,3,25333.0,8444.33,16.0,5.0,0,0
41.0,0,1,16.0,2,1,3,4.0,4,5.0,1,5.0,0,1,1,0.0,0,32181.0,10727.0,4.0,3.0,1,0
25.0,0,1,8.0,2,1,3,1.0,1,3.0,1,2.0,0,1,0,1.0,2,20206.0,6735.33,1.0,4.0,0,0
34.0,0,1,22.0,2,0,3,4.0,0,3.0,2,2.0,0,5,1,2.0,1,17553.0,5851.0,20.0,5.0,0,0
40.0,1,1,6.0,2,1,2,3.0,0,4.0,0,4.0,0,1,1,1.0,1,17387.0,8693.5,3.0,3.0,1,0
22.0,1,1,25.0,3,1,3,3.0,0,3.0,0,2.0,0,2,0,1.0,1,17323.0,5774.33,6.0,4.0,0,0
31.0,1,1,17.0,3,1,3,3.0,1,5.0,0,2.0,1,2,0,2.0,2,21833.0,7277.67,6.0,5.0,0,0
36.0,1,1,15.0,2,1,3,2.0,0,3.0,1,3.0,0,5,1,2.0,1,20947.0,6982.33,10.0,5.0,0,0
38.0,1,1,8.0,3,1,3,3.0,0,3.0,1,7.0,1,4,0,2.0,1,18057.0,6019.0,12.0,5.0,1,0
45.0,1,1,17.0,2,1,3,4.0,1,3.0,1,4.0,1,3,0,2.0,2,25143.0,8381.0,12.0,5.0,1,0
37.0,1,1,10.0,2,1,4,2.0,1,5.0,1,8.0,0,1,1,3.0,2,25520.0,6380.0,2.0,7.0,1,0
25.0,1,3,11.0,3,1,2,4.0,1,3.0,2,2.0,1,3,1,0.0,2,20744.0,10372.0,12.0,2.0,0,1
32.0,0,3,8.0,2,0,3,3.0,0,5.0,1,2.0,0,3,1,0.0,1,17827.0,5942.33,9.0,3.0,0,0
27.0,1,1,12.0,3,0,3,4.0,0,3.0,1,1.0,0,2,1,1.0,1,17187.0,5729.0,8.0,4.0,0,0
42.0,1,3,11.0,3,1,2,3.0,2,3.0,0,7.0,0,4,0,1.0,4,33303.0,16651.5,12.0,3.0,1,0
44.0,1,1,34.0,2,1,2,3.0,4,5.0,0,4.0,0,1,1,0.0,0,31328.0,15664.0,3.0,2.0,1,0
39.0,0,1,36.0,2,0,3,4.0,1,3.0,2,3.0,0,3,1,1.0,2,21084.0,7028.0,12.0,4.0,0,0
35.0,1,1,6.0,3,1,2,4.0,0,3.0,1,7.0,0,1,1,1.0,1,17258.0,8629.0,4.0,3.0,1,0
48.0,0,1,23.0,3,1,4,2.0,1,3.0,1,3.0,1,2,0,1.0,2,23745.0,5936.25,4.0,5.0,0,0
37.0,1,3,9.0,2,1,4,4.0,0,3.0,2,5.0,1,3,0,1.0,1,21322.0,5330.5,12.0,5.0,1,0
28.0,1,1,15.0,3,1,3,3.0,0,3.0,1,2.0,0,1,1,0.0,1,17070.0,5690.0,3.0,3.0,0,0
41.0,1,1,9.0,3,0,4,4.0,0,3.0,1,4.0,0,1,1,2.0,1,20679.0,5169.75,4.0,6.0,1,0
29.0,1,1,21.0,2,0,3,5.0,0,3.0,1,1.0,1,5,1,1.0,1,17168.0,5722.67,25.0,4.0,0,0
37.0,0,1,15.0,3,1,2,3.0,0,3.0,1,2.0,1,1,0,1.0,1,17326.0,8663.0,3.0,3.0,0,0
31.0,1,1,13.0,3,0,2,3.0,3,3.0,2,2.0,1,4,1,1.0,3,22143.0,11071.5,12.0,3.0,0,0
27.0,1,1,23.0,3,1,3,4.0,0,4.0,1,4.0,1,1,1,1.0,1,21051.0,7017.0,4.0,4.0,1,1
50.0,1,1,15.0,2,0,3,4.0,3,4.0,1,6.0,0,4,0,2.0,3,26081.0,8693.67,16.0,5.0,1,0
